home_team,away_team,P_home_win,P_draw,P_away_win
Man City,Newcastle,0.8624,0.1059,0.0315
Man City,Norwich,0.9467,0.0483,0.0044
Man City,Southampton,0.8778,0.0918,0.0302
Man City,Tottenham,0.6466,0.1923,0.1611
Man City,Watford,0.9301,0.0591,0.0104
Man City,West Ham,0.7457,0.1551,0.0991
Man City,Wolves,0.8472,0.1253,0.0274
Man United,Arsenal,0.3222,0.249,0.4288
Man United,Aston Villa,0.4071,0.2448,0.348
Man United,Brentford,0.4739,0.2378,0.2883
Man United,Brighton,0.3926,0.2687,0.3387
Man United,Burnley,0.5305,0.2539,0.2155
Man United,Chelsea,0.2291,0.2201,0.5508
Man United,Crystal Palace,0.3758,0.255,0.3692
Man United,Everton,0.5572,0.2211,0.2217
Man United,Leeds,0.5914,0.2089,0.1998
Man United,Leicester,0.3971,0.2307,0.3722
Man United,Liverpool,0.1329,0.1722,0.6948
Man United,Man City,0.1018,0.1559,0.7422
Man United,Newcastle,0.4901,0.244,0.2659
Man United,Norwich,0.7215,0.1777,0.1008
Man United,Southampton,0.5391,0.2222,0.2387
Man United,Tottenham,0.2501,0.2307,0.5192
Man United,Watford,0.6396,0.1967,0.1636
Man United,West Ham,0.3572,0.2379,0.4049
Man United,Wolves,0.4268,0.2774,0.2958
Newcastle,Arsenal,0.2295,0.2547,0.5159
Newcastle,Aston Villa,0.3135,0.2607,0.4258
Newcastle,Brentford,0.3812,0.2607,0.3582
Newcastle,Brighton,0.2896,0.2894,0.421
Newcastle,Burnley,0.4288,0.2925,0.2788
Newcastle,Chelsea,0.1503,0.2098,0.6399
Newcastle,Crystal Palace,0.279,0.2693,0.4517
Newcastle,Everton,0.4689,0.2505,0.2806
Newcastle,Leeds,0.5074,0.2388,0.2538
Newcastle,Leicester,0.3095,0.2418,0.4487
Newcastle,Liverpool,0.0745,0.1482,0.7772
Newcastle,Man City,0.0503,0.1277,0.8219
Newcastle,Man United,0.3183,0.2506,0.4311
Newcastle,Norwich,0.6464,0.218,0.1356
Newcastle,Southampton,0.451,0.2492,0.2998
Newcastle,Tottenham,0.1666,0.2242,0.6092
Newcastle,Watford,0.5593,0.2297,0.211
Newcastle,West Ham,0.2679,0.2457,0.4864
Newcastle,Wolves,0.3188,0.3068,0.3744
Norwich,Arsenal,0.0711,0.173,0.7559
Norwich,Aston Villa,0.1263,0.2036,0.6701
Norwich,Brentford,0.1747,0.2236,0.6017
Norwich,Brighton,0.0962,0.2169,0.6869
Norwich,Burnley,0.1898,0.2665,0.5437
Norwich,Chelsea,0.0362,0.1205,0.8432
Norwich,Crystal Palace,0.0982,0.1989,0.7029
Norwich,Everton,0.2452,0.24,0.5148
Norwich,Leeds,0.2819,0.2398,0.4783
Norwich,Leicester,0.1331,0.1888,0.6781
Norwich,Liverpool,0.0087,0.0644,0.9265
Norwich,Man City,0.005,0.0542,0.9405
Norwich,Man United,0.1349,0.1976,0.6675
Norwich,Newcastle,0.1779,0.2365,0.5856
Norwich,Southampton,0.2329,0.2336,0.5335
Norwich,Tottenham,0.0416,0.1337,0.8247
Norwich,Watford,0.3271,0.2457,0.4272
Norwich,West Ham,0.1013,0.1795,0.7192
Norwich,Wolves,0.1076,0.2404,0.652
Southampton,Arsenal,0.2055,0.2283,0.5662
